,isProps,link,startTime,home,away,period,betType,price,points,designation,live
11923,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Shots on goal Over/Under 6.5,6.0,6.5,over,False
12054,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Shots on goal Over/Under 7.5,11.74,7.5,over,False
12185,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Shots on goal Over/Under 2.5,1.2,2.5,over,False
12316,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Goals Over/Under 0.5,3.5,0.5,over,False
12447,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Goals Over/Under 1.5,14.0,1.5,over,False
12578,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Goals Over/Under 2.5,70.0,2.5,over,False
12709,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Assists Over/Under 0.5,4.0,0.5,over,False
12840,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Assists Over/Under 1.5,20.0,1.5,over,False
12971,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Points Over/Under 0.5,1.92,0.5,over,False
13102,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Points Over/Under 1.5,6.81,1.5,over,False
13233,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Points Over/Under 2.5,20.0,2.5,over,False
13364,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Points Over/Under 3.5,50.0,3.5,over,False
13495,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Points Over/Under 4.5,126.0,4.5,over,False
13626,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Shots on goal Over/Under 2.5,2.28,2.5,over,False
13757,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Shots on goal Over/Under 3.5,3.46,3.5,over,False
13888,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Evgenii Dadonov Total Shots on goal Over/Under 4.5,6.22,4.5,over,False
