,Unnamed: 0,id_old,status_new,status_old,status,home,away,points,betType,startTime,price,designation,period,live,link,scrapeMergeDate,result,playerName,statName,name,Stat,Value
49,232,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,18.0,Total Points - Fred VanVleet,2021-03-21 00:00:00+00:00,1.87,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Fred VanVleet,PTS,Fred VanVleet,PTS,23.0
50,235,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,14.5,Total Points - Jarrett Allen,2021-03-21 00:00:00+00:00,2.1,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Jarrett Allen,PTS,Jarrett Allen,PTS,17.0
51,236,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,14.5,Total Points - Jarrett Allen,2021-03-21 00:00:00+00:00,1.66,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Jarrett Allen,PTS,Jarrett Allen,PTS,17.0
52,237,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,17.0,Total Points - Kyle Lowry,2021-03-21 00:00:00+00:00,1.85,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Kyle Lowry,PTS,Kyle Lowry,PTS,18.0
53,238,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,17.0,Total Points - Kyle Lowry,2021-03-21 00:00:00+00:00,1.89,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Kyle Lowry,PTS,Kyle Lowry,PTS,18.0
54,239,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,10.5,Total Points - Larry Nance Jr.,2021-03-21 00:00:00+00:00,1.8,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Larry Nance Jr.,PTS,Larry Nance Jr.,PTS,10.0
55,240,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,10.5,Total Points - Larry Nance Jr.,2021-03-21 00:00:00+00:00,1.94,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Larry Nance Jr.,PTS,Larry Nance Jr.,PTS,10.0
56,241,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,21.5,Total Points - Norman Powell,2021-03-21 00:00:00+00:00,1.97,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Norman Powell,PTS,Norman Powell,PTS,18.0
57,242,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,21.5,Total Points - Norman Powell,2021-03-21 00:00:00+00:00,1.78,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Norman Powell,PTS,Norman Powell,PTS,18.0
58,243,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,12.5,Total Points - OG Anunoby,2021-03-21 00:00:00+00:00,1.8,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,OG Anunoby,PTS,OG Anunoby,PTS,17.0
59,244,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,12.5,Total Points - OG Anunoby,2021-03-21 00:00:00+00:00,1.94,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,OG Anunoby,PTS,OG Anunoby,PTS,17.0
