,Unnamed: 0,link,price.BodogOld,startTime,home,away,period,betType,price,points,designation,live,isProps,scrapeMergeDate,result,playerName,statName,name,Stat,Value
117,4299,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,"Total Points, Rebounds and Assists - James Harden",1.869565217391304,50.5,under,False,False,2021-03-21 00:00:00+00:00,1,James Harden,PRA,James Harden,PRA,39.0
118,4300,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,"Total Points, Rebounds and Assists - Kyrie Irving",1.869565217391304,41.5,over,False,False,2021-03-21 00:00:00+00:00,0,Kyrie Irving,PRA,Kyrie Irving,PRA,41.0
119,4301,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,"Total Points, Rebounds and Assists - Kyrie Irving",1.869565217391304,41.5,under,False,False,2021-03-21 00:00:00+00:00,1,Kyrie Irving,PRA,Kyrie Irving,PRA,41.0
120,4302,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,"Total Points, Rebounds and Assists - Russell Westbrook",1.869565217391304,45.5,over,False,False,2021-03-21 00:00:00+00:00,1,Russell Westbrook,PRA,Russell Westbrook,PRA,55.0
121,4303,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,"Total Points, Rebounds and Assists - Russell Westbrook",1.869565217391304,45.5,under,False,False,2021-03-21 00:00:00+00:00,0,Russell Westbrook,PRA,Russell Westbrook,PRA,55.0
122,4304,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-130,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Made 3 Point Shots - Bradley Beal,1.7692307692307692,2.5,over,False,False,2021-03-21 00:00:00+00:00,0,Bradley Beal,FG3M,Bradley Beal,FG3M,1.0
123,4305,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,EVEN,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Made 3 Point Shots - Bradley Beal,2.0,2.5,under,False,False,2021-03-21 00:00:00+00:00,1,Bradley Beal,FG3M,Bradley Beal,FG3M,1.0
124,4306,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,+120,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Made 3 Point Shots - James Harden,2.2,3.5,over,False,False,2021-03-21 00:00:00+00:00,0,James Harden,FG3M,James Harden,FG3M,3.0
125,4307,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-160,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Made 3 Point Shots - James Harden,1.625,3.5,under,False,False,2021-03-21 00:00:00+00:00,1,James Harden,FG3M,James Harden,FG3M,3.0
126,4308,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,EVEN,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Made 3 Point Shots - Joe Harris,2.0,3.5,over,False,False,2021-03-21 00:00:00+00:00,0,Joe Harris,FG3M,Joe Harris,FG3M,3.0
127,4309,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-130,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Made 3 Point Shots - Joe Harris,1.7692307692307692,3.5,under,False,False,2021-03-21 00:00:00+00:00,1,Joe Harris,FG3M,Joe Harris,FG3M,3.0
128,4310,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-130,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Made 3 Point Shots - Kyrie Irving,1.7692307692307692,2.5,over,False,False,2021-03-21 00:00:00+00:00,0,Kyrie Irving,FG3M,Kyrie Irving,FG3M,1.0
129,4311,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,EVEN,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Made 3 Point Shots - Kyrie Irving,2.0,2.5,under,False,False,2021-03-21 00:00:00+00:00,1,Kyrie Irving,FG3M,Kyrie Irving,FG3M,1.0
130,4312,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,+150,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Made 3 Point Shots - Rui Hachimura,2.5,1.5,over,False,False,2021-03-21 00:00:00+00:00,1,Rui Hachimura,FG3M,Rui Hachimura,FG3M,2.0
131,4313,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-200,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Made 3 Point Shots - Rui Hachimura,1.5,1.5,under,False,False,2021-03-21 00:00:00+00:00,0,Rui Hachimura,FG3M,Rui Hachimura,FG3M,2.0
132,4314,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Made 3 Point Shots - Russell Westbrook,1.869565217391304,1.5,over,False,False,2021-03-21 00:00:00+00:00,1,Russell Westbrook,FG3M,Russell Westbrook,FG3M,2.0
133,4315,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Made 3 Point Shots - Russell Westbrook,1.869565217391304,1.5,under,False,False,2021-03-21 00:00:00+00:00,0,Russell Westbrook,FG3M,Russell Westbrook,FG3M,2.0
134,4334,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocks and Steals - Bradley Beal,1.869565217391304,1.5,over,False,False,2021-03-21 00:00:00+00:00,0,Bradley Beal,BS,Bradley Beal,BS,0.0
135,4335,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocks and Steals - Bradley Beal,1.869565217391304,1.5,under,False,False,2021-03-21 00:00:00+00:00,1,Bradley Beal,BS,Bradley Beal,BS,0.0
136,4336,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocks and Steals - DeAndre Jordan,1.869565217391304,1.5,over,False,False,2021-03-21 00:00:00+00:00,1,DeAndre Jordan,BS,DeAndre Jordan,BS,2.0
137,4337,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocks and Steals - DeAndre Jordan,1.869565217391304,1.5,under,False,False,2021-03-21 00:00:00+00:00,0,DeAndre Jordan,BS,DeAndre Jordan,BS,2.0
138,4338,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocks and Steals - James Harden,1.869565217391304,2.5,over,False,False,2021-03-21 00:00:00+00:00,1,James Harden,BS,James Harden,BS,4.0
139,4339,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocks and Steals - James Harden,1.869565217391304,2.5,under,False,False,2021-03-21 00:00:00+00:00,0,James Harden,BS,James Harden,BS,4.0
140,4340,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-160,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocks and Steals - Kyrie Irving,1.625,1.5,over,False,False,2021-03-21 00:00:00+00:00,1,Kyrie Irving,BS,Kyrie Irving,BS,3.0
141,4341,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,+120,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocks and Steals - Kyrie Irving,2.2,1.5,under,False,False,2021-03-21 00:00:00+00:00,0,Kyrie Irving,BS,Kyrie Irving,BS,3.0
142,4342,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-170,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocks and Steals - Rui Hachimura,1.5882352941176472,0.5,over,False,False,2021-03-21 00:00:00+00:00,0,Rui Hachimura,BS,Rui Hachimura,BS,0.0
143,4343,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,+130,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocks and Steals - Rui Hachimura,2.3,0.5,under,False,False,2021-03-21 00:00:00+00:00,1,Rui Hachimura,BS,Rui Hachimura,BS,0.0
144,4344,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-145,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocks and Steals - Russell Westbrook,1.6896551724137931,1.5,over,False,False,2021-03-21 00:00:00+00:00,1,Russell Westbrook,BS,Russell Westbrook,BS,2.0
145,4345,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,+110,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocks and Steals - Russell Westbrook,2.1,1.5,under,False,False,2021-03-21 00:00:00+00:00,0,Russell Westbrook,BS,Russell Westbrook,BS,2.0
146,4930,https://www.bodog.eu/sports/basketball/nba/los-angeles-lakers-phoenix-suns-202103212200,-115,2021-03-22 00:00:00+00:00,Phoenix Suns,Los Angeles Lakers,0,Total Points - Chris Paul,1.869565217391304,15.5,over,False,False,2021-03-21 00:00:00+00:00,0,Chris Paul,PTS,Chris Paul,PTS,11.0
147,4931,https://www.bodog.eu/sports/basketball/nba/los-angeles-lakers-phoenix-suns-202103212200,-115,2021-03-22 00:00:00+00:00,Phoenix Suns,Los Angeles Lakers,0,Total Points - Chris Paul,1.869565217391304,15.5,under,False,False,2021-03-21 00:00:00+00:00,1,Chris Paul,PTS,Chris Paul,PTS,11.0
148,4932,https://www.bodog.eu/sports/basketball/nba/los-angeles-lakers-phoenix-suns-202103212200,-110,2021-03-22 00:00:00+00:00,Phoenix Suns,Los Angeles Lakers,0,Total Points - Deandre Ayton,1.9090909090909087,13.5,over,False,False,2021-03-21 00:00:00+00:00,1,Deandre Ayton,PTS,Deandre Ayton,PTS,26.0
